FECHA,TMAX,TMIN,NOMBRE
6032023,,8.5,PERITO MORENO AERO
6032023,36,21.3,PIGUE AERO
6032023,35.2,18,PILAR OBSERVATORIO
6032023,32.3,20.8,POSADAS AERO
6032023,34.1,18.5,PRESIDENCIA ROQUE SAENZ PEÑA AERO
6032023,21.5,11,PUERTO DESEADO AERO
6032023,35.7,14.8,PUERTO MADRYN AERO
6032023,31.5,24,PUNTA INDIO B.A.
6032023,34.8,21,RAFAELA AERO
6032023,33.3,22.2,RECONQUISTA AERO
6032023,33,19.9,RESISTENCIA AERO
6032023,33.5,16.7,RIO CUARTO AERO
6032023,19.9,1.2,RIO GALLEGOS AERO
6032023,13.3,2.8,RIO GRANDE B.A.
6032023,40,25.8,RIVADAVIA
6032023,36.6,21.8,ROSARIO AERO
6032023,28.5,17.8,SALTA AERO
6032023,36.7,18.4,SAN ANTONIO OESTE AERO
6032023,32.4,15.9,SAN CARLOS (MZA)
6032023,33.7,23,SAN FERNANDO AERO
6032023,34.6,23.6,SAN JUAN AERO
6032023,22,5.3,SAN JULIAN AERO
6032023,30,16,SAN LUIS AERO
6032023,30.4,19.5,SAN MARTIN (MZA)
6032023,34.6,18.1,SAN RAFAEL AERO
6032023,21,1.5,SANTA CRUZ AERO
6032023,34,19.4,SANTA ROSA AERO
6032023,32.1,,SANTA ROSA DE CONLARA AERO
6032023,38.3,25.5,SANTIAGO DEL ESTERO AERO
6032023,36.7,23.1,SAUCE VIEJO AERO
6032023,35.8,20.2,SUNCHALES AERO
6032023,35,17,TANDIL AERO
6032023,38,23.7,TARTAGAL AERO
6032023,38.2,23.2,TERMAS DE RIO HONDO AERO
6032023,38,20,TINOGASTA
6032023,35.6,17.9,TRELEW AERO
6032023,,23.5,TRENQUE LAUQUEN
6032023,38.1,24.4,TRES ARROYOS
6032023,35.5,24,TUCUMAN AERO
6032023,12.9,3.6,USHUAIA AERO
6032023,30.4,15,USPALLATA
